Model,Sentiment Accuracy,Sentiment F1,Sentiment AUC,Emotion Accuracy,Emotion F1
Word2Vec CBOW,0.8175,0.8148148148148148,0.9071309999999999,0.3700787401574803,0.3753148060603009
Word2Vec Skip-gram,0.8495,0.8489713998996488,0.9200939999999999,0.5028121484814398,0.49928019512539046
FastText,0.8475,0.8469643753135976,0.924099,0.49718785151856015,0.49349931295476007
OmniVec (Ours),0.813,0.8082051282051282,0.8863539999999999,0.7334083239595051,0.7234950823723872
