Model,Sentiment Acc,Sentiment F1,Emotion Acc,Emotion F1,Training Time (s)
Word2Vec CBOW,0.8335,0.8324106693507801,0.466,0.34399724580751134,82.07688975334167
Word2Vec Skip-gram,0.8125,0.8122183274912369,0.556,0.3461951139677222,324.8051562309265
FastText,0.801,0.7950566426364573,0.547,0.3427121289864808,401.57790899276733
